year,geo,noc,hours_worked
1996,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",48.1
1997,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",47.5
1998,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",47.4
1999,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",47.8
2000,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",47.9
2001,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",47.7
2002,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",47
2003,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",46.2
2004,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",46.6
2005,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",46.6
2006,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",46.1
2007,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",46.4
2008,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",45.6
2009,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",44.9
2010,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",44.8
2011,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",44.8
2012,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",44.7
2013,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",44.6
2014,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",43.5
2015,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",44.2
2016,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",44
2017,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",43.3
2018,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",43.2
2019,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",42.7
2020,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",42.9
1987,Canada,"Business, finance and administration occupations [1]",34.7
1988,Canada,"Business, finance and administration occupations [1]",35.2
1989,Canada,"Business, finance and administration occupations [1]",35.9
1990,Canada,"Business, finance and administration occupations [1]",35.7
1991,Canada,"Business, finance and administration occupations [1]",34.9
1992,Canada,"Business, finance and administration occupations [1]",34.3
1993,Canada,"Business, finance and administration occupations [1]",34.4
1994,Canada,"Business, finance and administration occupations [1]",34.8
1995,Canada,"Business, finance and administration occupations [1]",34.4
1996,Canada,"Business, finance and administration occupations [1]",34.9
1997,Canada,"Business, finance and administration occupations [1]",35.1
1998,Canada,"Business, finance and administration occupations [1]",35
1999,Canada,"Business, finance and administration occupations [1]",35
2000,Canada,"Business, finance and administration occupations [1]",35.3
2001,Canada,"Business, finance and administration occupations [1]",34.7
2002,Canada,"Business, finance and administration occupations [1]",34.7
2003,Canada,"Business, finance and administration occupations [1]",34
2004,Canada,"Business, finance and administration occupations [1]",34.4
2005,Canada,"Business, finance and administration occupations [1]",34.6
2006,Canada,"Business, finance and administration occupations [1]",34.4
2007,Canada,"Business, finance and administration occupations [1]",34.7
2008,Canada,"Business, finance and administration occupations [1]",34.4
2009,Canada,"Business, finance and administration occupations [1]",33.9
2010,Canada,"Business, finance and administration occupations [1]",34
2011,Canada,"Business, finance and administration occupations [1]",34.3
2012,Canada,"Business, finance and administration occupations [1]",34.6
2013,Canada,"Business, finance and administration occupations [1]",34.5
2014,Canada,"Business, finance and administration occupations [1]",33.9
2015,Canada,"Business, finance and administration occupations [1]",34.4
2016,Canada,"Business, finance and administration occupations [1]",34.4
2017,Canada,"Business, finance and administration occupations [1]",34
2018,Canada,"Business, finance and administration occupations [1]",34.8
2019,Canada,"Business, finance and administration occupations [1]",34.2
2020,Canada,"Business, finance and administration occupations [1]",34.6
1987,Canada,Professional occupations in business and finance [11],39.4
1988,Canada,Professional occupations in business and finance [11],39.5
1989,Canada,Professional occupations in business and finance [11],40.6
1990,Canada,Professional occupations in business and finance [11],40.2
1991,Canada,Professional occupations in business and finance [11],39.3
1992,Canada,Professional occupations in business and finance [11],38.9
1993,Canada,Professional occupations in business and finance [11],39.2
1994,Canada,Professional occupations in business and finance [11],39.4
1995,Canada,Professional occupations in business and finance [11],38.8
1996,Canada,Professional occupations in business and finance [11],39.5
1997,Canada,Professional occupations in business and finance [11],39.4
1998,Canada,Professional occupations in business and finance [11],39.2
1999,Canada,Professional occupations in business and finance [11],39
2000,Canada,Professional occupations in business and finance [11],39.4
2001,Canada,Professional occupations in business and finance [11],38.5
2002,Canada,Professional occupations in business and finance [11],38.5
2003,Canada,Professional occupations in business and finance [11],37.7
2004,Canada,Professional occupations in business and finance [11],38.1
2005,Canada,Professional occupations in business and finance [11],37.7
2006,Canada,Professional occupations in business and finance [11],37.7
2007,Canada,Professional occupations in business and finance [11],38
2008,Canada,Professional occupations in business and finance [11],37.3
2009,Canada,Professional occupations in business and finance [11],37
2010,Canada,Professional occupations in business and finance [11],36.8
2011,Canada,Professional occupations in business and finance [11],37.4
2012,Canada,Professional occupations in business and finance [11],37.5
2013,Canada,Professional occupations in business and finance [11],37.4
2014,Canada,Professional occupations in business and finance [11],36.5
2015,Canada,Professional occupations in business and finance [11],37.2
2016,Canada,Professional occupations in business and finance [11],37.3
2017,Canada,Professional occupations in business and finance [11],36.4
2018,Canada,Professional occupations in business and finance [11],37.2
2019,Canada,Professional occupations in business and finance [11],36.7
2020,Canada,Professional occupations in business and finance [11],36.9
1987,Canada,Administrative and financial supervisors and administrative occupations [12],35.3
1988,Canada,Administrative and financial supervisors and administrative occupations [12],35.8
1989,Canada,Administrative and financial supervisors and administrative occupations [12],36.3
1990,Canada,Administrative and financial supervisors and administrative occupations [12],36.2
1991,Canada,Administrative and financial supervisors and administrative occupations [12],35.6
1992,Canada,Administrative and financial supervisors and administrative occupations [12],35
1993,Canada,Administrative and financial supervisors and administrative occupations [12],35.2
1994,Canada,Administrative and financial supervisors and administrative occupations [12],35.6
1995,Canada,Administrative and financial supervisors and administrative occupations [12],34.7
1996,Canada,Administrative and financial supervisors and administrative occupations [12],35.3
1997,Canada,Administrative and financial supervisors and administrative occupations [12],35.4
1998,Canada,Administrative and financial supervisors and administrative occupations [12],35.3
1999,Canada,Administrative and financial supervisors and administrative occupations [12],35.2
2000,Canada,Administrative and financial supervisors and administrative occupations [12],35.6
2001,Canada,Administrative and financial supervisors and administrative occupations [12],34.9
2002,Canada,Administrative and financial supervisors and administrative occupations [12],34.8
2003,Canada,Administrative and financial supervisors and administrative occupations [12],34.4
2004,Canada,Administrative and financial supervisors and administrative occupations [12],34.5
2005,Canada,Administrative and financial supervisors and administrative occupations [12],34.8
2006,Canada,Administrative and financial supervisors and administrative occupations [12],34.8
2007,Canada,Administrative and financial supervisors and administrative occupations [12],35
2008,Canada,Administrative and financial supervisors and administrative occupations [12],34.9
2009,Canada,Administrative and financial supervisors and administrative occupations [12],34.5
2010,Canada,Administrative and financial supervisors and administrative occupations [12],34.6
2011,Canada,Administrative and financial supervisors and administrative occupations [12],34.8
2012,Canada,Administrative and financial supervisors and administrative occupations [12],35.2
2013,Canada,Administrative and financial supervisors and administrative occupations [12],35.1
2014,Canada,Administrative and financial supervisors and administrative occupations [12],34.6
2015,Canada,Administrative and financial supervisors and administrative occupations [12],34.8
2016,Canada,Administrative and financial supervisors and administrative occupations [12],34.7
2017,Canada,Administrative and financial supervisors and administrative occupations [12],34.2
2018,Canada,Administrative and financial supervisors and administrative occupations [12],34.8
2019,Canada,Administrative and financial supervisors and administrative occupations [12],34.1
2020,Canada,Administrative and financial supervisors and administrative occupations [12],34.5
1987,Canada,"Finance, insurance and related business administrative occupations [13]",31.8
1988,Canada,"Finance, insurance and related business administrative occupations [13]",32.3
1989,Canada,"Finance, insurance and related business administrative occupations [13]",33.5
1990,Canada,"Finance, insurance and related business administrative occupations [13]",33.2
1991,Canada,"Finance, insurance and related business administrative occupations [13]",31.6
1992,Canada,"Finance, insurance and related business administrative occupations [13]",31.9
1993,Canada,"Finance, insurance and related business administrative occupations [13]",31.4
1994,Canada,"Finance, insurance and related business administrative occupations [13]",31.1
1995,Canada,"Finance, insurance and related business administrative occupations [13]",29.8
1996,Canada,"Finance, insurance and related business administrative occupations [13]",30.5
1997,Canada,"Finance, insurance and related business administrative occupations [13]",31.3
1998,Canada,"Finance, insurance and related business administrative occupations [13]",32.6
1999,Canada,"Finance, insurance and related business administrative occupations [13]",30.7
2000,Canada,"Finance, insurance and related business administrative occupations [13]",31.5
2001,Canada,"Finance, insurance and related business administrative occupations [13]",31.5
2002,Canada,"Finance, insurance and related business administrative occupations [13]",31.5
2003,Canada,"Finance, insurance and related business administrative occupations [13]",29.8
2004,Canada,"Finance, insurance and related business administrative occupations [13]",31
2005,Canada,"Finance, insurance and related business administrative occupations [13]",30.7
2006,Canada,"Finance, insurance and related business administrative occupations [13]",30.3
2007,Canada,"Finance, insurance and related business administrative occupations [13]",31
2008,Canada,"Finance, insurance and related business administrative occupations [13]",30.4
2009,Canada,"Finance, insurance and related business administrative occupations [13]",29.7
2010,Canada,"Finance, insurance and related business administrative occupations [13]",30.3
2011,Canada,"Finance, insurance and related business administrative occupations [13]",30.3
2012,Canada,"Finance, insurance and related business administrative occupations [13]",30.2
2013,Canada,"Finance, insurance and related business administrative occupations [13]",30.9
2014,Canada,"Finance, insurance and related business administrative occupations [13]",30.2
2015,Canada,"Finance, insurance and related business administrative occupations [13]",30.3
2016,Canada,"Finance, insurance and related business administrative occupations [13]",30
2017,Canada,"Finance, insurance and related business administrative occupations [13]",30.2
2018,Canada,"Finance, insurance and related business administrative occupations [13]",31.6
2019,Canada,"Finance, insurance and related business administrative occupations [13]",31
2020,Canada,"Finance, insurance and related business administrative occupations [13]",31.8
1987,Canada,Office support occupations [14],32.9
1988,Canada,Office support occupations [14],33.5
1989,Canada,Office support occupations [14],34
1990,Canada,Office support occupations [14],34
1991,Canada,Office support occupations [14],32.9
1992,Canada,Office support occupations [14],32.2
1993,Canada,Office support occupations [14],32.4
1994,Canada,Office support occupations [14],32.7
1995,Canada,Office support occupations [14],32.7
1996,Canada,Office support occupations [14],33
1997,Canada,Office support occupations [14],33
1998,Canada,Office support occupations [14],32.7
1999,Canada,Office support occupations [14],33
2000,Canada,Office support occupations [14],33.2
2001,Canada,Office support occupations [14],32.8
2002,Canada,Office support occupations [14],32.8
2003,Canada,Office support occupations [14],31.9
2004,Canada,Office support occupations [14],32.2
2005,Canada,Office support occupations [14],32.7
2006,Canada,Office support occupations [14],32.4
2007,Canada,Office support occupations [14],32.7
2008,Canada,Office support occupations [14],32.3
2009,Canada,Office support occupations [14],31.9
2010,Canada,Office support occupations [14],31.9
2011,Canada,Office support occupations [14],32.2
2012,Canada,Office support occupations [14],32.5
2013,Canada,Office support occupations [14],32.2
2014,Canada,Office support occupations [14],31.7
2015,Canada,Office support occupations [14],32.2
2016,Canada,Office support occupations [14],31.7
2017,Canada,Office support occupations [14],31.5
2018,Canada,Office support occupations [14],32.5
2019,Canada,Office support occupations [14],31.7
2020,Canada,Office support occupations [14],32
1987,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",34.5
1988,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35
1989,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",36
1990,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.6
1991,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",34.8
1992,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",33.9
1993,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",33.6
1994,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",34.2
1995,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",33.9
1996,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",34.3
1997,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.2
1998,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",34.7
1999,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.5
2000,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.9
2001,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.2
2002,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.3
2003,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",34.9
2004,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.9
2005,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.9
2006,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.7
2007,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.7
2008,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",36.2
