year,geo,noc,hours_worked
2011,Quebec,Assisting occupations in support of health services [34],31.4
2012,Quebec,Assisting occupations in support of health services [34],31.9
2013,Quebec,Assisting occupations in support of health services [34],31.4
2014,Quebec,Assisting occupations in support of health services [34],30.4
2015,Quebec,Assisting occupations in support of health services [34],30.3
2016,Quebec,Assisting occupations in support of health services [34],31.6
2017,Quebec,Assisting occupations in support of health services [34],31.6
2018,Quebec,Assisting occupations in support of health services [34],32.7
2019,Quebec,Assisting occupations in support of health services [34],32.3
2020,Quebec,Assisting occupations in support of health services [34],32.6
1987,Quebec,"Occupations in education, law and social, community and government services [4]",33.3
1988,Quebec,"Occupations in education, law and social, community and government services [4]",33.4
1989,Quebec,"Occupations in education, law and social, community and government services [4]",32.7
1990,Quebec,"Occupations in education, law and social, community and government services [4]",33.8
1991,Quebec,"Occupations in education, law and social, community and government services [4]",33.8
1992,Quebec,"Occupations in education, law and social, community and government services [4]",33.9
1993,Quebec,"Occupations in education, law and social, community and government services [4]",32.7
1994,Quebec,"Occupations in education, law and social, community and government services [4]",34.4
1995,Quebec,"Occupations in education, law and social, community and government services [4]",34
1996,Quebec,"Occupations in education, law and social, community and government services [4]",33.8
1997,Quebec,"Occupations in education, law and social, community and government services [4]",33.9
1998,Quebec,"Occupations in education, law and social, community and government services [4]",33.6
1999,Quebec,"Occupations in education, law and social, community and government services [4]",35.2
2000,Quebec,"Occupations in education, law and social, community and government services [4]",34.6
2001,Quebec,"Occupations in education, law and social, community and government services [4]",33.6
2002,Quebec,"Occupations in education, law and social, community and government services [4]",34.6
2003,Quebec,"Occupations in education, law and social, community and government services [4]",33.8
2004,Quebec,"Occupations in education, law and social, community and government services [4]",33.6
2005,Quebec,"Occupations in education, law and social, community and government services [4]",34.2
2006,Quebec,"Occupations in education, law and social, community and government services [4]",33.5
2007,Quebec,"Occupations in education, law and social, community and government services [4]",33.8
2008,Quebec,"Occupations in education, law and social, community and government services [4]",34.3
2009,Quebec,"Occupations in education, law and social, community and government services [4]",34
2010,Quebec,"Occupations in education, law and social, community and government services [4]",33.9
2011,Quebec,"Occupations in education, law and social, community and government services [4]",34.1
2012,Quebec,"Occupations in education, law and social, community and government services [4]",33.9
2013,Quebec,"Occupations in education, law and social, community and government services [4]",33.7
2014,Quebec,"Occupations in education, law and social, community and government services [4]",33.3
2015,Quebec,"Occupations in education, law and social, community and government services [4]",33.5
2016,Quebec,"Occupations in education, law and social, community and government services [4]",33.5
2017,Quebec,"Occupations in education, law and social, community and government services [4]",33.4
2018,Quebec,"Occupations in education, law and social, community and government services [4]",33.9
2019,Quebec,"Occupations in education, law and social, community and government services [4]",33.3
2020,Quebec,"Occupations in education, law and social, community and government services [4]",33.2
1987,Quebec,Professional occupations in education services [40],33.5
1988,Quebec,Professional occupations in education services [40],33.6
1989,Quebec,Professional occupations in education services [40],33.4
1990,Quebec,Professional occupations in education services [40],33.3
1991,Quebec,Professional occupations in education services [40],33.6
1992,Quebec,Professional occupations in education services [40],33.8
1993,Quebec,Professional occupations in education services [40],32.9
1994,Quebec,Professional occupations in education services [40],34.7
1995,Quebec,Professional occupations in education services [40],33.7
1996,Quebec,Professional occupations in education services [40],33.8
1997,Quebec,Professional occupations in education services [40],32.9
1998,Quebec,Professional occupations in education services [40],33
1999,Quebec,Professional occupations in education services [40],35.3
2000,Quebec,Professional occupations in education services [40],34.5
2001,Quebec,Professional occupations in education services [40],32.6
2002,Quebec,Professional occupations in education services [40],33.4
2003,Quebec,Professional occupations in education services [40],33.2
2004,Quebec,Professional occupations in education services [40],32.5
2005,Quebec,Professional occupations in education services [40],32.5
2006,Quebec,Professional occupations in education services [40],32.7
2007,Quebec,Professional occupations in education services [40],33
2008,Quebec,Professional occupations in education services [40],33
2009,Quebec,Professional occupations in education services [40],32.9
2010,Quebec,Professional occupations in education services [40],32.8
2011,Quebec,Professional occupations in education services [40],33.4
2012,Quebec,Professional occupations in education services [40],32.8
2013,Quebec,Professional occupations in education services [40],32.3
2014,Quebec,Professional occupations in education services [40],31.8
2015,Quebec,Professional occupations in education services [40],31.8
2016,Quebec,Professional occupations in education services [40],32.6
2017,Quebec,Professional occupations in education services [40],32.2
2018,Quebec,Professional occupations in education services [40],32.5
2019,Quebec,Professional occupations in education services [40],32.2
2020,Quebec,Professional occupations in education services [40],31.9
1987,Quebec,"Professional occupations in law and social, community and government services [41]",37.9
1988,Quebec,"Professional occupations in law and social, community and government services [41]",40.3
1989,Quebec,"Professional occupations in law and social, community and government services [41]",38.6
1990,Quebec,"Professional occupations in law and social, community and government services [41]",38.8
1991,Quebec,"Professional occupations in law and social, community and government services [41]",37.6
1992,Quebec,"Professional occupations in law and social, community and government services [41]",38.9
1993,Quebec,"Professional occupations in law and social, community and government services [41]",37.5
1994,Quebec,"Professional occupations in law and social, community and government services [41]",39
1995,Quebec,"Professional occupations in law and social, community and government services [41]",38.4
1996,Quebec,"Professional occupations in law and social, community and government services [41]",37.3
1997,Quebec,"Professional occupations in law and social, community and government services [41]",37.7
1998,Quebec,"Professional occupations in law and social, community and government services [41]",37.1
1999,Quebec,"Professional occupations in law and social, community and government services [41]",38.1
2000,Quebec,"Professional occupations in law and social, community and government services [41]",37.5
2001,Quebec,"Professional occupations in law and social, community and government services [41]",36.7
2002,Quebec,"Professional occupations in law and social, community and government services [41]",36.4
2003,Quebec,"Professional occupations in law and social, community and government services [41]",36.7
2004,Quebec,"Professional occupations in law and social, community and government services [41]",35.6
2005,Quebec,"Professional occupations in law and social, community and government services [41]",36.9
2006,Quebec,"Professional occupations in law and social, community and government services [41]",34.7
2007,Quebec,"Professional occupations in law and social, community and government services [41]",34.5
2008,Quebec,"Professional occupations in law and social, community and government services [41]",35.6
2009,Quebec,"Professional occupations in law and social, community and government services [41]",34.5
2010,Quebec,"Professional occupations in law and social, community and government services [41]",35.2
2011,Quebec,"Professional occupations in law and social, community and government services [41]",35.1
2012,Quebec,"Professional occupations in law and social, community and government services [41]",35.5
2013,Quebec,"Professional occupations in law and social, community and government services [41]",35
2014,Quebec,"Professional occupations in law and social, community and government services [41]",34.7
2015,Quebec,"Professional occupations in law and social, community and government services [41]",35
2016,Quebec,"Professional occupations in law and social, community and government services [41]",35
2017,Quebec,"Professional occupations in law and social, community and government services [41]",36
2018,Quebec,"Professional occupations in law and social, community and government services [41]",35.9
2019,Quebec,"Professional occupations in law and social, community and government services [41]",34.2
2020,Quebec,"Professional occupations in law and social, community and government services [41]",34.9
1987,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",29.3
1988,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",29.8
1989,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",29.3
1990,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",30.8
1991,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",31.4
1992,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",30.2
1993,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",29.7
1994,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",31.5
1995,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",31.4
1996,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",32.2
1997,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",32.6
1998,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",33.3
1999,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",33.8
2000,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",34.5
2001,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",33.9
2002,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",35
2003,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",34.5
2004,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",34.9
2005,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",35
2006,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",33.7
2007,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",34.6
2008,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",34.1
2009,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",34.9
2010,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",35
2011,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",34.4
2012,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",35.4
2013,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",34.4
2014,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",34.3
2015,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",34.6
2016,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",33.7
2017,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",33.5
2018,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",34.2
2019,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",33.7
2020,Quebec,"Paraprofessional occupations in legal, social, community and education services [42]",32.6
1987,Quebec,Occupations in front-line public protection services [43],38.1
1988,Quebec,Occupations in front-line public protection services [43],39.6
1989,Quebec,Occupations in front-line public protection services [43],38.9
1990,Quebec,Occupations in front-line public protection services [43],40.6
1991,Quebec,Occupations in front-line public protection services [43],39
1992,Quebec,Occupations in front-line public protection services [43],39.7
1993,Quebec,Occupations in front-line public protection services [43],39.8
1994,Quebec,Occupations in front-line public protection services [43],39.9
1995,Quebec,Occupations in front-line public protection services [43],39.4
1996,Quebec,Occupations in front-line public protection services [43],39.1
1997,Quebec,Occupations in front-line public protection services [43],38.3
1998,Quebec,Occupations in front-line public protection services [43],40.4
1999,Quebec,Occupations in front-line public protection services [43],38.9
2000,Quebec,Occupations in front-line public protection services [43],39.1
2001,Quebec,Occupations in front-line public protection services [43],37.6
2002,Quebec,Occupations in front-line public protection services [43],40
2003,Quebec,Occupations in front-line public protection services [43],38
2004,Quebec,Occupations in front-line public protection services [43],39.5
2005,Quebec,Occupations in front-line public protection services [43],38.8
2006,Quebec,Occupations in front-line public protection services [43],40
2007,Quebec,Occupations in front-line public protection services [43],40.2
2008,Quebec,Occupations in front-line public protection services [43],40.4
2009,Quebec,Occupations in front-line public protection services [43],40.2
2010,Quebec,Occupations in front-line public protection services [43],41.1
2011,Quebec,Occupations in front-line public protection services [43],39
2012,Quebec,Occupations in front-line public protection services [43],39.8
2013,Quebec,Occupations in front-line public protection services [43],40.7
2014,Quebec,Occupations in front-line public protection services [43],38.6
2015,Quebec,Occupations in front-line public protection services [43],37.7
2016,Quebec,Occupations in front-line public protection services [43],39.4
2017,Quebec,Occupations in front-line public protection services [43],39.7
2018,Quebec,Occupations in front-line public protection services [43],40.9
2019,Quebec,Occupations in front-line public protection services [43],39.9
2020,Quebec,Occupations in front-line public protection services [43],39.9
1987,Quebec,"Care providers and educational, legal and public protection support occupations [44]",30.9
1988,Quebec,"Care providers and educational, legal and public protection support occupations [44]",29.3
1989,Quebec,"Care providers and educational, legal and public protection support occupations [44]",27.6
1990,Quebec,"Care providers and educational, legal and public protection support occupations [44]",27.5
1991,Quebec,"Care providers and educational, legal and public protection support occupations [44]",30.2
1992,Quebec,"Care providers and educational, legal and public protection support occupations [44]",29
1993,Quebec,"Care providers and educational, legal and public protection support occupations [44]",26.7
1994,Quebec,"Care providers and educational, legal and public protection support occupations [44]",30.4
1995,Quebec,"Care providers and educational, legal and public protection support occupations [44]",30.5
1996,Quebec,"Care providers and educational, legal and public protection support occupations [44]",27.8
1997,Quebec,"Care providers and educational, legal and public protection support occupations [44]",29.7
1998,Quebec,"Care providers and educational, legal and public protection support occupations [44]",26.2
1999,Quebec,"Care providers and educational, legal and public protection support occupations [44]",30.7
2000,Quebec,"Care providers and educational, legal and public protection support occupations [44]",28
2001,Quebec,"Care providers and educational, legal and public protection support occupations [44]",26.5
2002,Quebec,"Care providers and educational, legal and public protection support occupations [44]",30.9
2003,Quebec,"Care providers and educational, legal and public protection support occupations [44]",27
2004,Quebec,"Care providers and educational, legal and public protection support occupations [44]",27.3
2005,Quebec,"Care providers and educational, legal and public protection support occupations [44]",31.6
2006,Quebec,"Care providers and educational, legal and public protection support occupations [44]",29.7
2007,Quebec,"Care providers and educational, legal and public protection support occupations [44]",29
2008,Quebec,"Care providers and educational, legal and public protection support occupations [44]",33
2009,Quebec,"Care providers and educational, legal and public protection support occupations [44]",30.3
2010,Quebec,"Care providers and educational, legal and public protection support occupations [44]",28.1
2011,Quebec,"Care providers and educational, legal and public protection support occupations [44]",29.7
2012,Quebec,"Care providers and educational, legal and public protection support occupations [44]",27.5
2013,Quebec,"Care providers and educational, legal and public protection support occupations [44]",30.7
2014,Quebec,"Care providers and educational, legal and public protection support occupations [44]",29.2
2015,Quebec,"Care providers and educational, legal and public protection support occupations [44]",30.9
2016,Quebec,"Care providers and educational, legal and public protection support occupations [44]",27.3
2017,Quebec,"Care providers and educational, legal and public protection support occupations [44]",27.4
2018,Quebec,"Care providers and educational, legal and public protection support occupations [44]",30.2
2019,Quebec,"Care providers and educational, legal and public protection support occupations [44]",31.8
2020,Quebec,"Care providers and educational, legal and public protection support occupations [44]",31.5
1987,Quebec,"Occupations in art, culture, recreation and sport [5]",32.8
1988,Quebec,"Occupations in art, culture, recreation and sport [5]",33.6
1989,Quebec,"Occupations in art, culture, recreation and sport [5]",34.7
1990,Quebec,"Occupations in art, culture, recreation and sport [5]",33.7
1991,Quebec,"Occupations in art, culture, recreation and sport [5]",33
1992,Quebec,"Occupations in art, culture, recreation and sport [5]",31.8
1993,Quebec,"Occupations in art, culture, recreation and sport [5]",33.1
1994,Quebec,"Occupations in art, culture, recreation and sport [5]",33.6
1995,Quebec,"Occupations in art, culture, recreation and sport [5]",33
1996,Quebec,"Occupations in art, culture, recreation and sport [5]",33.7
1997,Quebec,"Occupations in art, culture, recreation and sport [5]",33
1998,Quebec,"Occupations in art, culture, recreation and sport [5]",34.1
1999,Quebec,"Occupations in art, culture, recreation and sport [5]",32.7
2000,Quebec,"Occupations in art, culture, recreation and sport [5]",33.1
2001,Quebec,"Occupations in art, culture, recreation and sport [5]",33.1
2002,Quebec,"Occupations in art, culture, recreation and sport [5]",30.9
2003,Quebec,"Occupations in art, culture, recreation and sport [5]",31.6
2004,Quebec,"Occupations in art, culture, recreation and sport [5]",30.9
2005,Quebec,"Occupations in art, culture, recreation and sport [5]",30.7
2006,Quebec,"Occupations in art, culture, recreation and sport [5]",31
2007,Quebec,"Occupations in art, culture, recreation and sport [5]",30.4
2008,Quebec,"Occupations in art, culture, recreation and sport [5]",31.2
2009,Quebec,"Occupations in art, culture, recreation and sport [5]",29.9
2010,Quebec,"Occupations in art, culture, recreation and sport [5]",31.1
2011,Quebec,"Occupations in art, culture, recreation and sport [5]",30.9
2012,Quebec,"Occupations in art, culture, recreation and sport [5]",30.1
2013,Quebec,"Occupations in art, culture, recreation and sport [5]",30.9
2014,Quebec,"Occupations in art, culture, recreation and sport [5]",29.7
2015,Quebec,"Occupations in art, culture, recreation and sport [5]",29.8
2016,Quebec,"Occupations in art, culture, recreation and sport [5]",30.3
2017,Quebec,"Occupations in art, culture, recreation and sport [5]",29.8
2018,Quebec,"Occupations in art, culture, recreation and sport [5]",30
2019,Quebec,"Occupations in art, culture, recreation and sport [5]",30.6
2020,Quebec,"Occupations in art, culture, recreation and sport [5]",29.6
1987,Quebec,Professional occupations in art and culture [51],33.1
1988,Quebec,Professional occupations in art and culture [51],33.3
1989,Quebec,Professional occupations in art and culture [51],33.6
1990,Quebec,Professional occupations in art and culture [51],33.3
1991,Quebec,Professional occupations in art and culture [51],32.2
1992,Quebec,Professional occupations in art and culture [51],32.2
1993,Quebec,Professional occupations in art and culture [51],34.3
1994,Quebec,Professional occupations in art and culture [51],34.2
1995,Quebec,Professional occupations in art and culture [51],34
1996,Quebec,Professional occupations in art and culture [51],33.5
1997,Quebec,Professional occupations in art and culture [51],33.3
1998,Quebec,Professional occupations in art and culture [51],34.8
1999,Quebec,Professional occupations in art and culture [51],33.7
2000,Quebec,Professional occupations in art and culture [51],34.5
2001,Quebec,Professional occupations in art and culture [51],34.5
2002,Quebec,Professional occupations in art and culture [51],32.5
2003,Quebec,Professional occupations in art and culture [51],31.7
2004,Quebec,Professional occupations in art and culture [51],33.5
2005,Quebec,Professional occupations in art and culture [51],32.1
2006,Quebec,Professional occupations in art and culture [51],30.8
2007,Quebec,Professional occupations in art and culture [51],31.5
2008,Quebec,Professional occupations in art and culture [51],32.2
2009,Quebec,Professional occupations in art and culture [51],30.8
2010,Quebec,Professional occupations in art and culture [51],31.6
2011,Quebec,Professional occupations in art and culture [51],32.9
2012,Quebec,Professional occupations in art and culture [51],30.5
2013,Quebec,Professional occupations in art and culture [51],32.5
2014,Quebec,Professional occupations in art and culture [51],31.1
2015,Quebec,Professional occupations in art and culture [51],30.3
2016,Quebec,Professional occupations in art and culture [51],31.1
2017,Quebec,Professional occupations in art and culture [51],31.8
2018,Quebec,Professional occupations in art and culture [51],31.2
2019,Quebec,Professional occupations in art and culture [51],31.6
2020,Quebec,Professional occupations in art and culture [51],29.7
1987,Quebec,"Technical occupations in art, culture, recreation and sport [52]",32.7
1988,Quebec,"Technical occupations in art, culture, recreation and sport [52]",33.8
1989,Quebec,"Technical occupations in art, culture, recreation and sport [52]",35.4
1990,Quebec,"Technical occupations in art, culture, recreation and sport [52]",34
1991,Quebec,"Technical occupations in art, culture, recreation and sport [52]",33.5
1992,Quebec,"Technical occupations in art, culture, recreation and sport [52]",31.5
1993,Quebec,"Technical occupations in art, culture, recreation and sport [52]",32.4
1994,Quebec,"Technical occupations in art, culture, recreation and sport [52]",33.1
1995,Quebec,"Technical occupations in art, culture, recreation and sport [52]",32.2
1996,Quebec,"Technical occupations in art, culture, recreation and sport [52]",33.8
1997,Quebec,"Technical occupations in art, culture, recreation and sport [52]",32.8
1998,Quebec,"Technical occupations in art, culture, recreation and sport [52]",33.6
1999,Quebec,"Technical occupations in art, culture, recreation and sport [52]",32
2000,Quebec,"Technical occupations in art, culture, recreation and sport [52]",32.2
2001,Quebec,"Technical occupations in art, culture, recreation and sport [52]",32.2
2002,Quebec,"Technical occupations in art, culture, recreation and sport [52]",29.8
2003,Quebec,"Technical occupations in art, culture, recreation and sport [52]",31.5
2004,Quebec,"Technical occupations in art, culture, recreation and sport [52]",29.4
2005,Quebec,"Technical occupations in art, culture, recreation and sport [52]",29.7
2006,Quebec,"Technical occupations in art, culture, recreation and sport [52]",31.2
2007,Quebec,"Technical occupations in art, culture, recreation and sport [52]",29.7
2008,Quebec,"Technical occupations in art, culture, recreation and sport [52]",30.7
2009,Quebec,"Technical occupations in art, culture, recreation and sport [52]",29.2
2010,Quebec,"Technical occupations in art, culture, recreation and sport [52]",30.8
2011,Quebec,"Technical occupations in art, culture, recreation and sport [52]",29.7
2012,Quebec,"Technical occupations in art, culture, recreation and sport [52]",29.9
2013,Quebec,"Technical occupations in art, culture, recreation and sport [52]",30
2014,Quebec,"Technical occupations in art, culture, recreation and sport [52]",29
2015,Quebec,"Technical occupations in art, culture, recreation and sport [52]",29.5
2016,Quebec,"Technical occupations in art, culture, recreation and sport [52]",29.9
2017,Quebec,"Technical occupations in art, culture, recreation and sport [52]",28.9
2018,Quebec,"Technical occupations in art, culture, recreation and sport [52]",29.3
2019,Quebec,"Technical occupations in art, culture, recreation and sport [52]",30.1
2020,Quebec,"Technical occupations in art, culture, recreation and sport [52]",29.6
1987,Quebec,Sales and service occupations [6],33.1
1988,Quebec,Sales and service occupations [6],33.5
1989,Quebec,Sales and service occupations [6],33.5
1990,Quebec,Sales and service occupations [6],32.7
1991,Quebec,Sales and service occupations [6],31.8
1992,Quebec,Sales and service occupations [6],31.7
1993,Quebec,Sales and service occupations [6],31.7
1994,Quebec,Sales and service occupations [6],31.8
1995,Quebec,Sales and service occupations [6],31.6
1996,Quebec,Sales and service occupations [6],31.8
1997,Quebec,Sales and service occupations [6],31.6
1998,Quebec,Sales and service occupations [6],31.7
1999,Quebec,Sales and service occupations [6],31.6
2000,Quebec,Sales and service occupations [6],31.6
2001,Quebec,Sales and service occupations [6],31.3
2002,Quebec,Sales and service occupations [6],31
2003,Quebec,Sales and service occupations [6],30.7
2004,Quebec,Sales and service occupations [6],30.6
2005,Quebec,Sales and service occupations [6],30.8
2006,Quebec,Sales and service occupations [6],30.5
2007,Quebec,Sales and service occupations [6],30.2
2008,Quebec,Sales and service occupations [6],30.4
2009,Quebec,Sales and service occupations [6],30
2010,Quebec,Sales and service occupations [6],29.6
2011,Quebec,Sales and service occupations [6],30
2012,Quebec,Sales and service occupations [6],29.5
2013,Quebec,Sales and service occupations [6],29.7
2014,Quebec,Sales and service occupations [6],29.5
2015,Quebec,Sales and service occupations [6],29.7
2016,Quebec,Sales and service occupations [6],29.9
2017,Quebec,Sales and service occupations [6],29.6
2018,Quebec,Sales and service occupations [6],30.2
2019,Quebec,Sales and service occupations [6],29.4
2020,Quebec,Sales and service occupations [6],29.7
1987,Quebec,Retail sales supervisors and specialized sales occupations [62],40.4
1988,Quebec,Retail sales supervisors and specialized sales occupations [62],41.7
1989,Quebec,Retail sales supervisors and specialized sales occupations [62],42
1990,Quebec,Retail sales supervisors and specialized sales occupations [62],40.6
1991,Quebec,Retail sales supervisors and specialized sales occupations [62],41
1992,Quebec,Retail sales supervisors and specialized sales occupations [62],40
1993,Quebec,Retail sales supervisors and specialized sales occupations [62],39.2
1994,Quebec,Retail sales supervisors and specialized sales occupations [62],40.3
1995,Quebec,Retail sales supervisors and specialized sales occupations [62],40.5
1996,Quebec,Retail sales supervisors and specialized sales occupations [62],41.4
1997,Quebec,Retail sales supervisors and specialized sales occupations [62],41
1998,Quebec,Retail sales supervisors and specialized sales occupations [62],39.9
1999,Quebec,Retail sales supervisors and specialized sales occupations [62],40.7
2000,Quebec,Retail sales supervisors and specialized sales occupations [62],39.6
2001,Quebec,Retail sales supervisors and specialized sales occupations [62],38.6
2002,Quebec,Retail sales supervisors and specialized sales occupations [62],38.6
2003,Quebec,Retail sales supervisors and specialized sales occupations [62],38.2
2004,Quebec,Retail sales supervisors and specialized sales occupations [62],38.3
2005,Quebec,Retail sales supervisors and specialized sales occupations [62],37.9
2006,Quebec,Retail sales supervisors and specialized sales occupations [62],38.2
2007,Quebec,Retail sales supervisors and specialized sales occupations [62],37.9
2008,Quebec,Retail sales supervisors and specialized sales occupations [62],38
2009,Quebec,Retail sales supervisors and specialized sales occupations [62],36.6
2010,Quebec,Retail sales supervisors and specialized sales occupations [62],38.1
2011,Quebec,Retail sales supervisors and specialized sales occupations [62],37.5
2012,Quebec,Retail sales supervisors and specialized sales occupations [62],37.5
2013,Quebec,Retail sales supervisors and specialized sales occupations [62],37.3
2014,Quebec,Retail sales supervisors and specialized sales occupations [62],36.2
2015,Quebec,Retail sales supervisors and specialized sales occupations [62],37.1
2016,Quebec,Retail sales supervisors and specialized sales occupations [62],36.6
2017,Quebec,Retail sales supervisors and specialized sales occupations [62],37.1
2018,Quebec,Retail sales supervisors and specialized sales occupations [62],38
2019,Quebec,Retail sales supervisors and specialized sales occupations [62],37.2
2020,Quebec,Retail sales supervisors and specialized sales occupations [62],37.3
1987,Quebec,Service supervisors and specialized service occupations [63],37.2
1988,Quebec,Service supervisors and specialized service occupations [63],36.8
1989,Quebec,Service supervisors and specialized service occupations [63],37.7
1990,Quebec,Service supervisors and specialized service occupations [63],36
1991,Quebec,Service supervisors and specialized service occupations [63],35.4
1992,Quebec,Service supervisors and specialized service occupations [63],35.4
1993,Quebec,Service supervisors and specialized service occupations [63],35.7
1994,Quebec,Service supervisors and specialized service occupations [63],36.2
1995,Quebec,Service supervisors and specialized service occupations [63],36.2
1996,Quebec,Service supervisors and specialized service occupations [63],35.5
1997,Quebec,Service supervisors and specialized service occupations [63],36.3
1998,Quebec,Service supervisors and specialized service occupations [63],35
1999,Quebec,Service supervisors and specialized service occupations [63],34.9
2000,Quebec,Service supervisors and specialized service occupations [63],34
2001,Quebec,Service supervisors and specialized service occupations [63],34.2
2002,Quebec,Service supervisors and specialized service occupations [63],33.6
2003,Quebec,Service supervisors and specialized service occupations [63],33.6
2004,Quebec,Service supervisors and specialized service occupations [63],33.1
2005,Quebec,Service supervisors and specialized service occupations [63],33.3
2006,Quebec,Service supervisors and specialized service occupations [63],33
2007,Quebec,Service supervisors and specialized service occupations [63],33
2008,Quebec,Service supervisors and specialized service occupations [63],33.7
2009,Quebec,Service supervisors and specialized service occupations [63],32.5
2010,Quebec,Service supervisors and specialized service occupations [63],32.1
2011,Quebec,Service supervisors and specialized service occupations [63],32.9
2012,Quebec,Service supervisors and specialized service occupations [63],32.6
2013,Quebec,Service supervisors and specialized service occupations [63],32.6
2014,Quebec,Service supervisors and specialized service occupations [63],32.7
2015,Quebec,Service supervisors and specialized service occupations [63],32.2
2016,Quebec,Service supervisors and specialized service occupations [63],32.6
2017,Quebec,Service supervisors and specialized service occupations [63],33.2
2018,Quebec,Service supervisors and specialized service occupations [63],33.2
2019,Quebec,Service supervisors and specialized service occupations [63],32.2
2020,Quebec,Service supervisors and specialized service occupations [63],31.9
1987,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],34.5
1988,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],34
1989,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],34.1
1990,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],33.5
1991,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],32.4
1992,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],32.5
1993,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],33.1
1994,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],31.4
1995,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],32.4
1996,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],32.3
1997,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],31.2
1998,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],32.1
1999,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],32.2
2000,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],33.2
2001,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],32.5
2002,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],32.2
2003,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],31.9
2004,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],32.1
2005,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],32
2006,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],32.3
2007,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],31.7
2008,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],31.7
2009,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],31.3
2010,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],31.3
2011,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],31.6
2012,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],30.7
2013,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],31.1
2014,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],30.2
2015,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],31.1
2016,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],31.3
2017,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],30.5
2018,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],30.2
2019,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],29.4
2020,Quebec,Sales representatives and salespersons - wholesale and retail trade [64],30.2
1987,Quebec,Service representatives and other customer and personal services occupations [65],31.6
1988,Quebec,Service representatives and other customer and personal services occupations [65],33.1
1989,Quebec,Service representatives and other customer and personal services occupations [65],32.7
1990,Quebec,Service representatives and other customer and personal services occupations [65],31.7
